央视频道|CCTV-1,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8#@http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0#@http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
卫视|新疆卫视,http://36.32.174.67:60080/newlive/live/hls/47/live.m3u8
卫视|浙江卫视,http://36.32.174.67:60080/newlive/live/hls/23/live.m3u8
卫视|东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8
卫视|四川卫视,http://36.32.174.67:60080/newlive/live/hls/29/live.m3u8
卫视|贵州卫视,http://36.32.174.67:60080/newlive/live/hls/32/live.m3u8
卫视|西藏卫视,http://36.32.174.67:60080/newlive/live/hls/51/live.m3u8
卫视|三沙卫视,http://36.32.174.67:60080/newlive/live/hls/52/live.m3u8
卫视|兵团卫视,http://36.32.174.67:60080/newlive/live/hls/54/live.m3u8


晋中|晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中|晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8

其他|Banana,http://18.svi-studio.com:8880/live/624372101145/418430465490/4.m3u8#@http://18.svi-studio.com:8880/live/908957700097/132663288386/4.m3u8#@http://18.svi-studio.com:8880/live/584830114073/800309151021/4.m3u8#@http://18.svi-studio.com:8880/live/917952932058/953281067271/4.m3u8#@http://18.svi-studio.com:8880/live/271871095922/006886711863/3.m3u8
其他|Jingyan,http://18.svi-studio.com:8880/live/624372101145/418430465490/1.m3u8#@http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8#@http://18.svi-studio.com:8880/live/584830114073/800309151021/1.m3u8#@http://18.svi-studio.com:8880/live/917952932058/953281067271/1.m3u8#@http://18.svi-studio.com:8880/live/271871095922/006886711863/1.m3u8
其他|Pandora,http://18.svi-studio.com:8880/live/624372101145/418430465490/3.m3u8#@http://18.svi-studio.com:8880/live/908957700097/132663288386/3.m3u8#@http://18.svi-studio.com:8880/live/584830114073/800309151021/3.m3u8#@http://18.svi-studio.com:8880/live/917952932058/953281067271/3.m3u8#@http://18.svi-studio.com:8880/live/271871095922/006886711863/3.m3u8
其他|Sonshi-1,http://18.svi-studio.com:8880/live/624372101145/418430465490/5.m3u8#@http://18.svi-studio.com:8880/live/908957700097/132663288386/5.m3u8#@http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8#@http://18.svi-studio.com:8880/live/917952932058/953281067271/5.m3u8#@http://18.svi-studio.com:8880/live/271871095922/006886711863/5.m3u8
其他|Sonshi-2,http://18.svi-studio.com:8880/live/624372101145/418430465490/6.m3u8#@http://18.svi-studio.com:8880/live/908957700097/132663288386/6.m3u8#@#@http://18.svi-studio.com:8880/live/584830114073/800309151021/6.m3u8#@http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8#@http://18.svi-studio.com:8880/live/271871095922/006886711863/6.m3u8
其他|Sonshi-3,http://18.svi-studio.com:8880/live/624372101145/418430465490/20205.m3u8#@http://18.svi-studio.com:8880/live/908957700097/132663288386/20205.m3u8#@http://18.svi-studio.com:8880/live/584830114073/800309151021/20205.m3u8#@http://18.svi-studio.com:8880/live/917952932058/953281067271/20205.m3u8#@http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8

其他|Jenny,https://59ec5453559f0.streamlock.net/JennyForYou/smil:WEB3131/playlist.m3u8
其他|MiamiTV,https://59ec5453559f0.streamlock.net/mexicotv/smil:miamitvmexico/playlist.m3u8
其他|VISIT-X,https://stream.visit-x.tv/vxtv/live/playlist.m3u8
